FID_,NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,USER_ID,WORKSTATE,DEPT_CODE,STNL_REG,TMPID,UPLOAD_ID,POINT_X,POINT_Y,x,y,X2,Y2
,4080021800,101,수산2리입구,0, ,korea,5, ,408,OEXT4080021800, ,187215.563599999990000,93166.842000000004000,187,93,126° 51' 45.093"" E,33° 25' 55.069"" N
,4070007700,101,대림사거리,0, ,korea,5, ,407,OEXT4070007700, ,132860.802700000000000,92302.296799999996000,133,92,126° 16' 41.248"" E,33° 25' 19.721"" N
,4080021600,101,난산입구,0, ,korea,5, ,408,OEXT4080021600, ,184396.946499999990000,91003.482199999999000,184,91,126° 49' 56.115"" E,33° 24' 44.717"" N
,4070006200,101,동명사거리,0, ,korea,5, ,407,OEXT4070006200, ,132038.613099999990000,90389.543200000000000,132,90,126° 16' 9.946"" E,33° 24' 17.455"" N
,4080021200,101,온평교차로,0, ,korea,5, ,408,OEXT4080021200, ,190444.579600000000000,90443.682300000000000,190,90,126° 53' 50.198"" E,33° 24' 26.802"" N
,4070005900,101,명월교차로,0, ,korea,5, ,407,OEXT4070005900, ,131494.261700000000000,89707.147700000001000,131,90,126° 15' 49.068"" E,33° 23' 55.183"" N
,4070005600,101,명월하동,0, ,korea,5, ,407,OEXT4070005600, ,131205.345500000000000,89450.975800000000000,131,89,126° 15' 37.959"" E,33° 23' 46.802"" N
,4080021100,101,난산사거리,0, ,korea,5, ,408,OEXT4080021100, ,187371.100799999990000,89903.797699999996000,187,90,126° 51' 51.279"" E,33° 24' 9.164"" N
,4070005400,101,명월입구,0, ,korea,5, ,407,OEXT4070005400, ,131449.521700000010000,89100.461100000000000,131,89,126° 15' 47.503"" E,33° 23' 35.482"" N
,4070005200,101,명월사거리,0, ,korea,5, ,407,OEXT4070005200, ,131478.466900000000000,89008.911900000006000,131,89,126° 15' 48.648"" E,33° 23' 32.517"" N
,4070004800,101,협재사거리,0, ,korea,5, ,407,OEXT4070004800, ,130136.046400000010000,88482.980599999995000,130,88,126° 14' 56.856"" E,33° 23' 15.137"" N
,4070004400,101,금능사거리,0, ,korea,5, ,407,OEXT4070004400, ,128914.320300000010000,87895.493199999997000,129,88,126° 14' 9.756"" E,33° 22' 55.781"" N
,4070004200,101,새못사거리,0, ,korea,5, ,407,OEXT4070004200, ,127989.422200000000000,87521.038700000005000,128,88,126° 13' 34.083"" E,33° 22' 43.406"" N
,4080019000,101,성읍삼거리,0, ,korea,5, ,408,OEXT4080019000, ,180799.736200000010000,87813.357600000003000,181,88,126° 47' 37.138"" E,33° 23' 0.962"" N
,4070003900,101,월령삼거리,0, ,korea,5, ,407,OEXT4070003900, ,127085.767000000010000,87119.532000000007000,127,87,126° 12' 59.242"" E,33° 22' 30.156"" N
,4070003700,101,판포삼거리,0, ,korea,5, ,407,OEXT4070003700, ,125934.680200000000000,86298.790699999998000,126,86,126° 12' 14.957"" E,33° 22' 3.235"" N
,4070003600,101,망오름,0, ,korea,5, ,407,OEXT4070003600, ,130959.796200000000000,86255.142399999997000,131,86,126° 15' 29.339"" E,33° 22' 3.022"" N
,4080018000,101,삼달교차로,0, ,korea,5, ,408,OEXT4080018000, ,187794.005399999990000,86205.860000000001000,188,86,126° 52' 7.825"" E,33° 22' 9.153"" N
,4070003400,101,상명,0, ,korea,5, ,407,OEXT4070003400, ,131850.338200000000000,85398.340800000005000,132,85,126° 16' 4.019"" E,33° 21' 35.419"" N
,4070003200,101,두모삼거리,0, ,korea,5, ,407,OEXT4070003200, ,124334.756400000000000,85039.178300000000000,124,85,126° 11' 13.454"" E,33° 21' 21.953"" N
,4080017700,101,신풍교차로,0, ,korea,5, ,408,OEXT4080017700, ,187455.374600000010000,85567.200599999996000,187,86,126° 51' 54.758"" E,33° 21' 48.409"" N
