"","FID_","LINK_ID","F_NODE","T_NODE","ROAD_USE","LANES","ROAD_RANK","ROAD_NAME","MULTI_LINK","CONNECT","MAX_SPD","REST_VEH","REST_W","REST_H","REMARK","USER_ID","WORKSTATE","DEPT_CODE","STNL_REG","ROAD_TYPE","ROAD_NO","TMPID","UPLOAD_ID","SOSFNODEID","SOSTNODEID","SHAPE_STLe"
"90",NA,4080138500,4080106300,4080106200,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP88","TEMP90",17.2238839905
"91",NA,4080138600,4080106000,4080106200,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP91","TEMP90",66.227421819
"92",NA,4080138700,4080106200,4080106000,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP90","TEMP91",66.2273801764
"93",NA,4080138800,4080106700,4080020501,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP86","",300.762380233
"94",NA,4080138900,4080020501,4080106700,0,1,107,"-",0,0,50,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP86",300.762080248
"95",NA,4080139000,4080020500,4080105500,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0611_S","","","TEMP406",53.0103660892
"96",NA,4080139100,4080105500,4080020500,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP406","",53.0103660883
"97",NA,4080139200,4080105000,4080105400,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP405","TEMP397",78.9655063992
"98",NA,4080179300,4080105400,4080105000,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP397","TEMP405",78.9654346373
"99",NA,4080179400,4080105300,4080104900,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP398","TEMP404",82.6679507507
"100",NA,4080179500,4080104900,4080105300,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP404","TEMP398",82.6679254834
"101",NA,4080179600,4080104800,4080105200,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP403","TEMP401",85.6089640843
"102",NA,4080179700,4080105200,4080104800,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP401","TEMP403",85.6088919166
"103",NA,4080179800,4080105200,4080105700,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP401","TEMP400",56.9164387828
"104",NA,4080179900,4080105700,4080105200,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP400","TEMP401",56.9164387825
"105",NA,4080180000,4080105800,4080105300,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP399","TEMP398",54.241853386
"106",NA,4080180100,4080105300,4080105800,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP398","TEMP399",54.2418533881
"107",NA,4080180200,4080105400,4080105900,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP397","TEMP396",51.5826458796
"108",NA,4080180300,4080105900,4080105400,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP396","TEMP397",51.5827677438
"109",NA,4080180400,4080105900,4080105800,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP396","TEMP399",43.0764047049
"110",NA,4080180500,4080105800,4080105900,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP399","TEMP396",43.0762288487
"111",NA,4080180600,4080105800,4080105700,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP399","TEMP400",43.2507137511
"112",NA,4080180700,4080105700,4080105800,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","NTIC_0609","","TEMP400","TEMP399",43.2507137507
"113",NA,4080180800,4080104900,4080105000,0,1,107,"-",0,0,30,0,0,0,"","",5,49000,408,0,"-","0621Y_FT","","TEMP404","TEMP405",42.9190405655
